,Unnamed: 0,Security Number,ISIN,Name(Hebrew),Name(English),Symbol(Hebrew),symbol
954,954,1096890,IL0010968902,פארמוקן,PHARMOCANN,פמקנ,PMCN
955,955,1160829,US73931J1097,פוורפליט,POWERFLEET,פרפל,PWFL
957,957,745018,IL0007450187,פוליגון,POLYGON,פלגן,POLY
958,958,1940444,IL0019404446,פועל הנ שה נד 1,POALIM HAN N1,פעלהנ.ט1,PHAN.N1
959,959,662577,IL0006625771,פועלים,POALIM,פעלים,POLI
960,960,1084482,IL0010844822,פועלים איביאי,POALIM IBI,פאי,PIU
975,975,1087022,IL0010870223,פוקס,FOX,פוקס,FOX
978,978,256016,IL0002560162,פורמולה מערכות,FORMULA,פרמלה,FORTY
979,979,199018,IL0001990188,פורסייט,FORESIGHT,פרסט,FRSX
980,980,1100007,IL0011000077,פז נפט,PAZ OIL,פזנפט,PZOL
988,988,1099761,IL0010997612,פטרוטקס יהש,PETROTX,פטקס,PTX
989,989,756015,IL0007560159,פטרוכימיים,PETROCHEMICAL,פטרו,PTCH
994,994,599019,IL0005990192,פי.אל.טי פיננס,P.L.T. FINANC,פלטפ,PLTF
995,995,763011,IL0007630119,פיבי,FIBI HOLDINGS,פיבי,FIBIH
996,996,412015,IL0004120155,פייטון,PAYTON,פטון,PAYT
997,997,1091685,IL0010916851,פיסיבי טכנ,P.C.B TEC,פסבט,PCBT
1000,1000,1109917,NL0011882741,פלאזה סנטר -ס,PLAZA CENTERS-L,פלזס-ס,PLAZ-L
1001,1001,1121730,US72940R3003,פלוריסטם,PLURISTEM,פלתר,PSTI
1002,1002,1081603,IL0010816036,פלסאון תעשיות,PLASSON INDUS,פלסון,PLSN
1003,1003,727016,IL0007270163,פלסטו קרגל,PLASTO CARGAL,פלקר,PLCR
1007,1007,1092840,IL0010928401,פלסטופיל-ש,PLASTOFIL -M,פפיל-ש,PPIL-M
1008,1008,644013,IL0006440130,פלרם,PALRAM,פלרם,PLRM
1009,1009,315010,IL0003150104,פמס,FMS,פמס,FBRT
1010,1010,1104363,IL0011043630,פנאקסיה ישראל,PANAXIA ISRAEL,פנאק,PNAX
1011,1011,278010,IL0002780109,פנטזי נטוורק,FANTASY NETWORK,פנטז,FNTS
1015,1015,333013,IL0003330136,פנינסולה,PENINSULA GROUP,פננס,PEN
1025,1025,1142405,US70806A1060,פננטפארק,PENNANTPARK $,פננט,PFLT
1029,1029,1120609,US74365A3095,פרוטליקס,PROTALIX,פלקס,PLX
1030,1030,1083484,IL0010834849,פרטנר,PARTNER,פרטנר,PTNR
1034,1034,1130699,IE00BGH1M568,פריגו,PERRIGO,פרגו,PRGO
1035,1035,1102219,IL0011022196,פרידנזון,FRIDENSON,פרדנ,FRDN
1037,1037,1095819,IL0010958192,פריון נטוורק,PERION NETWORK,פריון,PERI
1038,1038,328013,IL0003280133,פריורטק,PRIORTECH,פרטק,PRTC
1039,1039,1157833,IL0011578338,פרשמרקט,FRESHMARKET,פרשמ,FRSM
1040,1040,1102128,IL0011021289,פרשקובסקי,PRASHKOVSKY,פרשק,PRSK
1047,1047,1143429,IL0011434292,פתאל החזקות,FATTAL,פתאל,FTAL
1048,1048,342014,IL0003420143,צאם,CHAM,צאם,CHAM
1049,1049,730010,IL0007300101,צור,ZUR,צור,ZUR
1051,1051,456012,IL0004560129,צירון,CHIRON,בזצ,CHR
1053,1053,1104058,IL0011040586,צמח המרמן,ZMH,צמח,ZMH
1057,1057,425017,IL0004250176,צרפתי,SARFATI,צרפת,SRFT
1060,1060,1118116,IL0011181166,קאנומד,CANNOMED,קנמד,CNMD
1061,1061,1128461,IL0011284614,קדימהסטם,KADIMASTEM,קדסט,KDST
1064,1064,271015,IL0002710155,קו מנחה,TRENDLINE,קמנחה,TREN
1065,1065,386011,IL0003860116,קווינקו,QUEENCO,קנקו,QNCO
1066,1066,1083955,IL0010839558,קווליטאו,QUALITAU,קלטו,QLTU
1067,1067,1085208,IL0010852080,קומפיוגן,COMPUGEN,קמפג,CGEN
1068,1068,389015,IL0003890154,קופיקס גרופ,COFIX GROUP,קפקס,CFX
1075,1075,797035,IL0007970358,קליל,KLIL,קליל,KLIL
1076,1076,1094119,IL0010941198,קמהדע,KAMADA,קמדע,KMDA
1077,1077,1095264,IL0010952641,קמטק,CAMTEK,קמטק,CAMT
1078,1078,1106806,IL0011068066,קמן קפיטל-ש,KMN CAPITAL-M,קמןק-ש,KMNK-M
1079,1079,111013,IL0001110134,קנאשור,CANNASSURE,קנשר,CSURE
1084,1084,1134139,SG9999012629,קנון,KENON,קנון,KEN
1085,1085,1096007,IL0010960073,קנזון,CANZON,קנזנ,CNZN
1086,1086,280016,IL0002800162,קסטרו,CASTRO,קסטרו,CAST
1087,1087,1099571,IL0010995715,קסניה,XENIA,קסנה,XENA
1088,1088,1097146,IL0010971468,קפיטל פוינט,CAPITAL POINT,קפטל,CPTP
1089,1089,1087949,NL0000113652,קרדן אן.וי.-ס,KARDAN N.V.-L,קרנו-ס,KRNV-L
1092,1092,1210152,IL0012101528,קרדן ישראל,KARDEN ISRAEL,קרדי,KRDI
1093,1093,1118447,IL0011184475,קרדן נדלן,KARDAN REAL ES,קרנז,KARE
1097,1097,621011,IL0006210111,קרור,KERUR,קרור,KRUR
1098,1098,1123850,IL0011238503,קרסו,CARASSO,קרסו,CRSO
1102,1102,413013,IL0004130139,קשרי תעופה,AVIATION LINKS,קשרתע,AVIA
1103,1103,393017,IL0003930174,ראלקו,RALCO,רלקו,RLCO
1104,1104,526012,IL0005260125,רבד,RAVAD,רבד,RAVD
1107,1107,1098565,IL0010985658,רבוע נדלן,BLUE SQ REAL ES,רבנד,BLSR
1112,1112,1103878,IL0011038788,רבל,RAVAL,רבל,RVL
1114,1114,266015,IL0002660152,רובוגרופ,ROBOGROUP,רבגפ,ROBO
1115,1115,539015,IL0005390153,רוטשטיין,ROTSHTEIN,רשטן,ROTS
1124,1124,1147750,IL0011477507,רותם אנרגיה יהש,ROTEM EN REM L,רתאנ,RTEN.L
1125,1125,1098920,IL0010989205,ריט 1,REIT 1,ריט1,RIT1
1130,1130,1162775,IL0011627754,ריט אזורים ליוי,REIT AZORIM LIV,אזרט,AZRT
1132,1132,1080456,IL0010804560,רימוני,RIMONI,רמני,RIMO
1135,1135,1090943,IL0010909435,רם און,RAM ON,רמאן,RMN
1137,1137,1104249,IL0011042491,רמי לוי,RAMI LEVI,רמלי,RMLI
1138,1138,1143619,IL0011436198,רני צים,RANI ZIM,רנצם,RANI
1141,1141,769026,IL0007690261,רפק,RAPAC,רפק,RPAC
1145,1145,394015,IL0003940157,רציו יהש,RATIO L,רצו,RATI.L
1148,1148,1139864,IL0011398646,רציו פטרול יהש,RATIO PETROLE L,רצפט,RTPT.L
1150,1150,1081009,IL0010810096,רקח,REKAH,רקח,REKA
1152,1152,1138379,IL0011383796,שגריר,SHAGRIR,שגרר,SHGR
1153,1153,1082007,IL0010820079,שוהם ביזנס,SHOHAM BUSINESS,שוהם,SHOM
1157,1157,777037,IL0007770378,שופרסל,SHUFERSAL,שפרסל,SAE
1162,1162,746016,IL0007460160,שטראוס,STRAUSS GROUP,שטרס,STRS
1166,1166,249011,IL0002490113,שיח מדיקל,SEACH MEDICAL,שיח,SEMG
1167,1167,1081942,IL0010819428,שיכון ובינוי,SHIKUN & BINUI,שוב,SKBN
1168,1168,1158161,IL0011581613,שירותי בנק אוטו,AUTO BANK SERV,שבא,SHVA
1174,1174,1090547,IL0010905474,שלאג,SHALAG,שלאג,SALG
1182,1182,634030,IL0006340306,שמן תעשיות,SHEMEN INDUSTRY,שמןתע,SMNIN
1183,1183,1080837,IL0010808371,שניב,SHANIV,שניב,SHAN
1184,1184,1103571,IL0011035719,שנפ,SCHNAPP,שנפ,SHNP
1188,1188,1133875,IL0011338758,שפיר הנדסה,SHAPIR ENG,שפהנ,SPEN
1189,1189,341016,IL0003410169,שפע ימים,SHEFA YAMIM,שפע,SEFA
1190,1190,1082726,IL0010827264,תאת טכנו,TAT TECHNO,תאתטכ,TATT
1191,1191,142018,IL0001420186,תדאה,TEDEA,תדאה,TEDE
1192,1192,1090141,IL0010901416,תדיר גן,TADIR GAN,תדגן,TDGN
1195,1195,258012,IL0002580129,תדיראן הולדינגס,TADIRAN HOLDING,תדראן,TDRN
1197,1197,796011,IL0007960110,תיא השקעות,TAYA INV,תאהש,TAYA
1198,1198,1105022,IL0011050221,תיגבור,TGBR,תגבר,TIGBUR
1199,1199,1084367,IL0010843675,תיקון עולם קנבט,TIKUN OLAM CANB,תקונ,TKUN
1202,1202,1141357,IL0011413577,תמר פטרוליום,TAMAR PET,תמרפ,TMRP
1204,1204,290023,IL0002900236,תעוזה,TEUZA,תעוזה,TUZA
1207,1207,1082585,IL0010825854,תפרון,TEFRON,תפרן,TFRLF
