Name,Symbol,ISIN,Index,Closing Price (0.01 NIS),Change (%),Turnover(NIS thousands),Last Trade
IBITEC     FUND,IBITEC.F,IL0011425381,"TA-SME60, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150",72,-0.28,258.7,EoD
ICB,ICB,IL0010970544,,42.1,5.78,9.01,EoD
ICECURE MEDICAL,ICCM,IL0011224156,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare",67.5,7.66,1352.67,EoD
ICL,ICL,IL0002810146,"TA-35, TA-125, TA-Maala Index, Tel-Div Index, TA-AllShare, TA-Rimon, TA Sector-Balance, TA-Industrials",1254,2.7,85333.55,EoD
IDI INSUR,IDIN,IL0011295016,"TA-90, TA-125, TA-Finance Index, TA-Maala Index, Tel-Div Index, TA-AllShare, TA Insurance-Plus, TA-Rimon, TA-SME150, TA Sector-Balance",11140,-5.03,2751.08,EoD
IES,IES,IL0004310152,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150",17620,-1.4,923.65,EoD
IFF,IFF,US4595061015,"TA-35, TA-125, TA-AllShare, TA-Rimon, TA Sector-Balance, TA-Industrials",44690,1.73,35030.89,EoD
ILD RENEWAL,ILDR,IL0011214744,,137.6,0,0,EoD
ILEX MEDICAL,ILX,IL0010807530,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Family",10710,-0.56,742.7,EoD
IMCO,IMCO,IL0002820129,,1309,0.08,61.65,EoD
INBAR GROUP,INBR,IL0004240102,,55.5,-7.35,109.89,EoD
INFIMER,INFR,IL0010806888,,614.5,0,0,EoD
INROM CONST,INRM,IL0011323560,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",1205,0.42,2326.23,EoD
INTELICANNA,INTL,IL0006730126,,313.1,-2.85,580.42,EoD
INTER INDSTRIES,ININ,IL0010809288,,353.7,0.54,26.62,EoD
INTERCURE,INCR,IL0011063760,"TA-SME60, TA-Biomed Index, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-SME150",461.3,2.4,2517.45,EoD
INTERGAMA,INTR,IL0001740112,,6267,3.84,4.07,EoD
INTERNET GOLD,IGLD,IL0010834435,,3654,-5.21,152.78,EoD
INTERNET RES,IRI,IL0011435026,,72.1,3.3,4.65,EoD
ISRACARD,ISCD,IL0011574030,"TA-90, TA-125, TA-Finance Index, TA-AllShare, TA Insurance-Plus, TA-Rimon, TA-SME150, TA Sector-Balance",882.9,-1.13,8078.9,EoD
ISRAEL CANADA,ISCN,IL0004340191,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Construction",510.7,-2.22,3913.57,EoD
ISRAEL CORP,ILCO,IL0005760173,"TA-35, TA-125, TA-AllShare, TA-Rimon",45620,3.45,15407.39,EoD
ISRAEL OP     L,ISOP.L,IL0011199242,"TA-Growth, TA-AllShare, TA Oil & Gas Index",44.5,-3.05,114.66,EoD
ISRAMCO       L,ISRA.L,IL0002320179,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA Oil & Gas Index, TA-Rimon, TA-SME150, TA Sector-Balance",43.7,2.82,7541.09,EoD
ISRAS,ISRS,IL0006130343,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Investment Properties in Israel",59990,-3.09,3846.9,EoD
ISROTEL,ISRO,IL0010809858,,4089,-0.99,158.58,EoD
ISSTA,ISTA,IL0010810740,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance",4414,-1.12,574.19,EoD
ITAMAR,ITMR,IL0011024580,"TA-SME60, TA-Biomed Index, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-SME150, TA-Industrials",169.1,0.24,200.15,EoD
JERUSALEM,JBNK,IL0007260180,"TA-Finance Index, TA-Growth, TA-AllShare",780.2,0.77,10.04,EoD
KADIMASTEM,KDST,IL0011284614,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare",34.7,1.76,53.93,EoD
KAFRIT,KAFR,IL0005220111,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials",1270,3.34,23.77,EoD
KAMADA,KMDA,IL0010941198,"TA-90, TA-125, TA-Biomed Index, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-SME150, TA-Industrials",2618,1.67,3076.51,EoD
KARDAN N.V.-L,KRNV-L,NL0000113652,,10,0,0,EoD
KARDAN REAL ES,KARE,IL0011184475,"TA-SME60, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA-Construction",208.8,-1.09,52.38,EoD
KARDEN ISRAEL,KRDI,IL0012101528,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Construction",168.3,5.65,2.12,EoD
KENON,KEN,SG9999012629,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150",5819,2.7,2539.74,EoD
KERUR,KRUR,IL0006210111,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",9947,0.72,1287.81,EoD
KITOV PHARMA,KTOV,IL0007650166,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare",125.8,1.29,85.15,EoD
KLIL,KLIL,IL0007970358,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials",24040,0.04,509.79,EoD
KMN CAPITAL-M,KMNK-M,IL0011068066,,247.3,0,0,EoD
KNAFAIM,KNFM,IL0005430173,"TA-Growth, TA-AllShare, TA-Rimon",580.5,-2.83,275.89,EoD
LACHISH,LHIS,IL0008260163,,357.4,3.83,2.36,EoD
LAHAV,LAHAV,IL0001360101,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Investment Properties Abroad",251.8,-0.28,1170.3,EoD
LAND DEV,ILDC,IL0006120104,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA-Family, TA-Investment Properties in Israel",3351,-6.66,4608.69,EoD
LAPIDOT HEL L,LPHL.L,IL0010912488,"TA-Growth, TA-AllShare, TA Oil & Gas Index",127.3,2.41,19.35,EoD
LAPIDOTH   CAP.,LAPD,IL0006420173,"TA-Growth, TA-AllShare",2093,-0.33,99.64,EoD
LEADER,LDER,IL0003180143,"TA-Growth, TA-AllShare",54.9,1.29,3.4,EoD
LESICO,LSCO,IL0011409468,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Construction",458.1,-0.09,42.93,EoD
LEUMI,LUMI,IL0006046119,"TA-35, TA-125, TA-Finance Index, TA-Maala Index, TA-Banks5, Tel-Div Index, TA-AllShare, TA-Rimon, TA Sector-Balance",1885,1.18,167521.6,EoD
LEVINSKI OFER,LEOF,IL0002000144,,40.7,1.24,5.22,EoD
LEVINSTEIN ENG,LEVI,IL0005730143,"TA-SME60, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA-Family, TA-Construction",16240,-0.98,143.08,EoD
LEVINSTEIN PROP,LVPR,IL0011190803,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA-Family, TA-Investment Properties in Israel",8171,-2.9,1036.97,EoD
LIBENTAL,LBTL,IL0005840116,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Construction",948.1,-6.59,81.85,EoD
LINEAGE THERAP,LCTX,US53566P1093,"TA-SME60, TA-Biomed Index, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-SME150",263.3,1.35,36.76,EoD
LIVEPERSON,LPSN,US5381461012,"TA-35, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA Sector-Balance",8006,3.56,22319.71,EoD
LODZIA,LODZ,IL0007530129,,2266,6.19,2.27,EoD
LUDAN,LUDN,IL0010814395,"TA-Growth, TA-AllShare",428.1,-0.21,2.49,EoD
LUZON GROUP,LUZN,IL0004730177,,37.8,0,0,EoD
LUZON REAL E.,LZNR,IL0006660166,,35.1,6.04,30.06,EoD
MAGIC,MGIC,IL0010823123,"TA-90, TA-125, Tel-Div Index, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance",3168,0.96,1762.85,EoD
MALAM TEAM,MLTM,IL0001560189,"TA-90, TA-125, TA-Maala Index, Tel-Div Index, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance",65450,3.04,2026.29,EoD
MAMAN,MMAN,IL0002380140,"TA-Growth, TA-AllShare",455,3.41,38.95,EoD
MASLAVI,MSLA,IL0011067498,,470,0,0,EoD
MATOMY,MTMY,IL0011316978,,19.9,-3.86,4.08,EoD
MATRIX,MTRX,IL0004450156,"TA-90, TA-125, Tel-Div Index, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance",6686,2.56,12150.17,EoD
MAYTRONICS,MTRN,IL0010910656,"TA-90, TA-125, Tel-Div Index, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",2461,7,3184,EoD
MEAT-TECH,MEAT,IL0010807209,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index",188,2.73,45.52,EoD
MEDIGUS,MDGS,IL0010961717,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index",23.9,-0.42,103.19,EoD
MEDIPOWER 0.1$,MDPR,CY0100361019,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Investment Properties Abroad",439.5,-2.68,8.82,EoD
MEDITR TOWER,MDTR,IL0011315236,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA-Investment Properties in Israel",796.9,0.61,1719.99,EoD
MEDIVIE,MDVI,IL0011226540,,752.9,4.57,15.65,EoD
MEDLEY,MCC,US58503F1066,,233.1,-6.76,12.27,EoD
MEDTECHNICA,MEDI,IL0002530132,"TA-Growth, TA-AllShare",1898,2.32,132.74,EoD
MEGA OR,MGOR,IL0011044885,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Investment Properties in Israel",7726,-0.95,5859.97,EoD
MEHADRIN,MEDN,IL0006860147,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials",10490,0.96,67.4,EoD
MEITAV DS,MTDS,IL0010818438,"TA-90, TA-125, TA-Finance Index, TA-Maala Index, TA-AllShare, TA Insurance-Plus, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Family",813.7,-3.13,1024.3,EoD
MELISRON,MLSR,IL0003230146,"TA-35, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA Sector-Balance, TA-Investment Properties in Israel",12150,0.16,22790.07,EoD
MENDELSON    IF,MNIN,IL0011294449,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150",565.4,0.07,222.15,EoD
MENIVIM REIT,MNRT,IL0011405730,"TA-SME60, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA-Investment Properties in Israel",159.5,-0.44,751.89,EoD
MENORA MIV HLD,MMHD,IL0005660183,"TA-90, TA-125, TA-Finance Index, Tel-Div Index, TA-AllShare, TA Insurance-Plus, TA-Rimon, TA-SME150, TA Sector-Balance",4490,2.63,3289.3,EoD
MER,CMER,IL0003380123,,275.9,-7.2,5.56,EoD
MERCHAVIA HOLD,MRHL,IL0002570146,,30.6,2.68,10.86,EoD
MGURIT,MGRT,IL0011391955,"TA-SME60, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA-Investment Properties in Israel",58.1,-0.68,250.29,EoD
MICROMEDIC,MCTC,IL0004330119,,502.5,1.19,54.49,EoD
MICRONET 0.1,MCRNT,IL0010997877,,13.8,-6.12,151.97,EoD
MIGDAL INSUR.,MGDL,IL0010811656,"TA-90, TA-125, TA-Finance Index, TA-Maala Index, Tel-Div Index, TA-AllShare, TA Insurance-Plus, TA-Rimon, TA-SME150, TA Sector-Balance",199.5,1.73,4847.64,EoD
MIN HAGOREN,MNGN,IL0010805229,,1780,-1.22,6.76,EoD
MINRAV,MNRV,IL0001550362,"TA-SME60, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA-Family, TA-Construction",48340,2,215.03,EoD
MINRAV      PRO,MNPR,IL0011402430,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Construction",513.2,0.08,339.56,EoD
MIRLAND,MLD,CY0106902113,,4.1,13.89,34.77,EoD
MISHORIM,MSHR,IL0011051963,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Investment Properties Abroad",711.5,-1.06,99.78,EoD
MIVNE,MVNE,IL0002260193,"TA-35, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA Sector-Balance, TA-Investment Properties in Israel",680,1.9,26496.8,EoD
MIVTACH SHAMIR,MISH,IL0001270193,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Family",5525,-0.5,62.21,EoD
MIZRAHI TEFAHOT,MZTF,IL0006954379,"TA-35, TA-125, TA-Finance Index, TA-Banks5, Tel-Div Index, TA-AllShare, TA-Rimon, TA Sector-Balance",6893,3.78,83527.52,EoD
MOBILE MAX-M,MBMX-M,IL0011051393,,95.9,28.55,31.45,EoD
MODIIN     L,MDIN.L,IL0003450173,"TA-Growth, TA-AllShare, TA Oil & Gas Index",475.3,1,33.95,EoD
MOR INDUS,MRIN,IL0011414641,"TA-SME60, TA-Finance Index, TA-AllShare, TA Insurance-Plus, TA-Rimon, TA-SME150",805,2.55,609.24,EoD
MY SIZE,MYSZ,US62844N2080,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index",916.9,-7.82,258.44,EoD
MYDAS,MYDS,IL0005440156,,42.2,0.72,0.43,EoD
NANO DIMENSION,NNDM,IL0007510329,,5.6,-1.75,1576.6,EoD
NAPHTHA,NFTA,IL0006430156,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA Oil & Gas Index, TA-Rimon, TA-SME150, TA Sector-Balance",1795,1.47,2497.31,EoD
NAVITAS PTRO  L,NVPT.L,IL0011419699,"TA-90, TA-125, TA-AllShare, TA Oil & Gas Index, TA-Rimon, TA-SME150, TA Sector-Balance",819,8.19,1978.1,EoD
NAWI,NAWI,IL0002080179,"TA-90, TA-125, TA-Finance Index, TA-AllShare, TA Insurance-Plus, TA-Rimon, TA-SME150, TA Sector-Balance",1380,4.7,4797.91,EoD
NETANEL GROUP,NTGR,IL0004210162,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Construction",434.6,0.14,142.72,EoD
NETO,NTO,IL0001680136,"TA-SME60, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials, TA-Family",18510,2.83,520.64,EoD
NETO MALINDA,NTML,IL0011050973,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150",5772,0,2577.31,EoD
NEW HORIZON-M,NERZ-M,IL0003970188,,238.3,0,0,EoD
NEXTCOM,NXTM,IL0010957855,,500.1,0,0,EoD
NEXTGEN-M,NXGN-M,IL0010839301,,84,7.69,342.51,EoD
NICE,NICE,IL0002730112,"TA-35, TA-125, TA-Maala Index, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA Sector-Balance",58790,1.71,106874.25,EoD
NISSAN,NISA,IL0006600196,"TA-Growth, TA-AllShare, TA-Rimon, TA-Industrials",1751,1.57,16.2,EoD
NORSTAR,NSTR,PAL0605071A3,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA-Family, TA-Investment Properties Abroad",3932,-2.91,1806.62,EoD
NOVA,NVMI,IL0010845571,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",13670,2.78,9173.14,EoD
NOVOLOG,NVLG,IL0011401515,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150",245.4,0.2,364.38,EoD
O.R.T.,ORTC,IL0010862303,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Industrials",2362,1.72,2.95,EoD
ONE TECHNOLOGI,ONE,IL0001610182,"TA-90, TA-125, Tel-Div Index, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance",23640,1.55,4681.84,EoD
OPAL BALANCE,OPAL,IL0010949860,"TA-Finance Index, TA-Growth, TA-AllShare, TA Insurance-Plus, TA-Rimon",274.7,-1.19,481.94,EoD
OPC ENERGY,OPCE,IL0011415713,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Energy Utilities",2563,1.55,2839.61,EoD
OPKO HEALTH,OPK,US68375N1037,"TA-90, TA-125, TA-Biomed Index, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-SME150",761.3,8.06,7483.59,EoD
OPTIBASE,OBAS,IL0011355166,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Investment Properties Abroad",3634,0.86,11.3,EoD
ORAD,ORAD,IL0011044968,,48,-3.42,223.39,EoD
ORAMED PHARM,ORMP,US68403P2039,"TA-SME60, TA-Biomed Index, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-SME150",1010,-4.36,231.78,EoD
ORBIT,ORBI,IL0002650179,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Industrials",618.7,0.95,90.21,EoD
ORIAN,ORIN,IL0011035065,"TA-Growth, TA-AllShare, TA-Rimon",1620,-0.25,17.16,EoD
ORMAT TECHNO,ORA,US6866881021,"TA-35, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA Sector-Balance, TA-Industrials, TA-Energy Utilities",21160,1,33738.29,EoD
ORON GROUP,ORON,IL0011357063,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Construction",303.4,-1.27,70.84,EoD
OVERSEAS,OVRS,IL0011396178,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150",250.3,3.26,165.75,EoD
P.C.B TEC,PCBT,IL0010916851,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Industrials",414.3,-0.05,3.77,EoD
P.L.T. FINANC,PLTF,IL0005990192,,52.6,4.16,113.88,EoD
PALRAM,PLRM,IL0006440130,"TA-Growth, TA-AllShare, TA-Industrials",1594,1.79,23.42,EoD
PANAXIA ISRAEL,PNAX,IL0011043630,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Industrials",286.1,-1.95,776.88,EoD
PARTNER,PTNR,IL0010834849,"TA-90, TA-125, TA-Maala Index, TA-AllShare, TA-Communication & InformationTechnology, TA-Rimon, TA-SME150, TA Sector-Balance",1402,0.94,3790.19,EoD
PAYTON,PAYT,IL0004120155,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials",3910,-0.1,130.28,EoD
PAZ OIL,PZOL,IL0011000077,"TA-90, TA-125, TA-Maala Index, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Energy Utilities",29000,0.83,7909.22,EoD
PENINSULA GROUP,PEN,IL0003330136,"TA-SME60, TA-Finance Index, TA-AllShare, TA Insurance-Plus, TA-SME150",212.5,-0.61,598.82,EoD
PENNANTPARK $,PFLT,US70806A1060,,2175,-1.36,8.61,EoD
PERION NETWORK,PERI,IL0010958192,"TA-SME60, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150",1714,0.18,369.54,EoD
PERRIGO,PRGO,IE00BGH1M568,"TA-35, TA-125, TA-Biomed Index, TA-Maala Index, TA Global-BlueTech, TA-AllShare, TA-Rimon, TA Sector-Balance, TA-Industrials",17900,1.19,73278.28,EoD
PETROCHEMICAL,PTCH,IL0007560159,,144,2.64,4.32,EoD
PETROTX,PTX,IL0010997612,,10.6,0.95,3.18,EoD
PHARMOCANN,PMCN,IL0010968902,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Industrials",219.6,1.29,275.11,EoD
PHOENIX,PHOE,IL0007670123,"TA-35, TA-125, TA-Finance Index, TA-Maala Index, Tel-Div Index, TA-AllShare, TA Insurance-Plus, TA-Rimon, TA Sector-Balance",1796,1.93,15564.44,EoD
PLASSON INDUS,PLSN,IL0010816036,"TA-90, TA-125, TA-Maala Index, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",13530,-0.51,1049.33,EoD
PLASTO CARGAL,PLCR,IL0007270163,"TA-Growth, TA-AllShare, TA-Industrials",265.3,2.04,5.08,EoD
PLASTOFIL    -M,PPIL-M,IL0010928401,,600,0,0,EoD
PLAZA CENTERS-L,PLAZ-L,NL0011882741,,204.5,-2.15,0.26,EoD
PLURISTEM,PSTI,US72940R3003,"TA-SME60, TA-Biomed Index, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-SME150",3360,-1.18,9568.16,EoD
POALIM,POLI,IL0006625771,"TA-35, TA-125, TA-Finance Index, TA-Maala Index, TA-Banks5, Tel-Div Index, TA-AllShare, TA-Rimon, TA Sector-Balance",2152,3.51,319348.04,EoD
POALIM IBI,PIU,IL0010844822,"TA-Finance Index, TA-Growth, TA-AllShare, TA Insurance-Plus",997.6,0.15,55.26,EoD
POLYGON,POLY,IL0007450187,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Investment Properties in Israel",2248,-0.49,3.37,EoD
POWERFLEET,PWFL,US73931J1097,"TA-SME60, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA Tech - Elite, TA-Rimon, TA-SME150, TA-Industrials",1617,-0.43,67.29,EoD
PRASHKOVSKY,PRSK,IL0011021289,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Construction",6075,0.03,272.05,EoD
PRIORTECH,PRTC,IL0003280133,"TA-SME60, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA-Industrials",3422,0.41,125.51,EoD
PROPERT & BUIL,PTBL,IL0006990175,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA-Investment Properties in Israel",24700,-2.45,1493.49,EoD
PROTALIX,PLX,US74365A3095,"TA-SME60, TA-Biomed Index, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-SME150",1270,-5.29,900.91,EoD
QUALITAU,QLTU,IL0010839558,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Industrials",1779,3.07,61.69,EoD
QUEENCO,QNCO,IL0003860116,"TA-Growth, TA-AllShare",498.8,-0.26,2.2,EoD
RALCO,RLCO,IL0003930174,"TA-Growth, TA-AllShare",2100,6.82,2.21,EoD
RAM ON,RMN,IL0010909435,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials",611.4,-0.49,0.83,EoD
RAMI LEVI,RMLI,IL0011042491,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Family",23210,3.2,9258.26,EoD
RANI ZIM,RANI,IL0011436198,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Rimon, TA-Investment Properties in Israel",310.6,4.68,1715.23,EoD
RAPAC,RPAC,IL0007690261,"TA-Growth, TA-AllShare",1642,0.92,104.43,EoD
RATIO       L,RATI.L,IL0003940157,"TA-90, TA-125, TA-AllShare, TA Oil & Gas Index, TA-Rimon, TA-SME150, TA Sector-Balance",152.2,4.18,14805.55,EoD
RATIO PETROLE L,RTPT.L,IL0011398646,"TA-SME60, TA-AllShare, TA Oil & Gas Index, TA-Rimon, TA-SME150",185.7,7.09,1353.5,EoD
RAVAD,RAVD,IL0005260125,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Investment Properties Abroad",647.8,-3.21,407.92,EoD
RAVAL,RVL,IL0011038788,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials",538.8,2.49,977.3,EoD
REIT 1,RIT1,IL0010989205,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Investment Properties in Israel",1545,-1.47,11289.97,EoD
REIT AZORIM LIV,AZRT,IL0011627754,"TA-SME60, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA-Investment Properties in Israel",959.7,-4.03,968.8,EoD
REKAH,REKA,IL0010810096,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Industrials",1942,-0.05,57.38,EoD
RIMONI,RIMO,IL0010804560,"TA-Growth, TA-AllShare, TA-Industrials",3437,0.94,27.7,EoD
ROBOGROUP,ROBO,IL0002660152,,221.8,-0.81,62.14,EoD
ROTEM EN REM L,RTEN.L,IL0011477507,,50.1,3.09,2.12,EoD
ROTSHTEIN,ROTS,IL0005390153,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Construction",2091,-2.29,40.95,EoD
RSL,RSEL,IL0002990161,,174.2,3.38,14.45,EoD
S.R ACCORD,SRAC,IL0004220146,"TA-Finance Index, TA-Growth, TA-AllShare, TA Insurance-Plus",4611,4.04,1723.74,EoD
SAFE-T GROUP,SFET,IL0010838568,,10.6,-2.75,438.8,EoD
SANO,SANO1,IL0008130143,"TA-Maala Index, TA-Growth, TA-AllShare, TA-Industrials",25170,1.57,414.52,EoD
SAPIENS,SPNS,KYG7T16G1039,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance",8329,4.77,7126.92,EoD
SAPIR CORP,SPIR,IL0003650152,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Investment Properties Abroad",269.4,-2.29,12.67,EoD
SARFATI,SRFT,IL0004250176,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Rimon, TA-Construction",1394,5.93,43.13,EoD
SATCOM SYSTEM,STCM,IL0010805971,,85,1.55,2.27,EoD
SCHNAPP,SHNP,IL0011035719,"TA-Growth, TA-AllShare, TA-Rimon",855.9,1.57,22.84,EoD
SCOPE,SCOP,IL0002880198,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance",6576,1.67,689.91,EoD
SEACH MEDICAL,SEMG,IL0002490113,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Industrials",68.9,-1.15,241.87,EoD
SELLA REAL EST,SLARL,IL0011096448,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA-Investment Properties in Israel",659.6,-3,17335.01,EoD
SHAGRIR,SHGR,IL0011383796,"TA-Growth, TA-AllShare, TA-Rimon",1218,1.42,30.26,EoD
SHALAG,SALG,IL0010905474,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials",919.1,3.48,76.55,EoD
